Nama Obat,Harga Jual 1,Jenis Obat,Deskripsi
ABBOCATH 24 GEA BOX,"225,000.00",RESEP DOKTER,"Jarum yang digunakan untuk pemasangan infuse, untuk mengambil cairan udema ukuran 24 (per Box)"
ASEPTIC GEL OM 500ML,"50,000.00",BEBAS,Digunakan sebagai pembersih tangan dari debu dan kuman tanpa harus dibilas dengan menggunakan air
APETIC SYR 60ML,"37,500.00",BEBAS,"Obat yang digunakan untuk meringankan rasa sakit seperti sakit kepala, sakit gigi serta menurunkan demam "
APETIC FORTE 60ML,"45,000.00",BEBAS,"Obat yang digunakan untuk meringankan rasa sakit seperti sakit kepala, sakit gigi serta menurunkan demam "
APETIC DROP 60ML,"35,000.00",BEBAS,"Obat yang digunakan untuk meringankan rasa sakit seperti sakit kepala, sakit gigi serta menurunkan demam "
ABBOCATH 26 INFLO,"7,500.00",RESEP DOKTER,"Jarum yang digunakan untuk pemasangan infuse, untuk mengambil cairan udema ukuran 26 (per Box)"
ABBOCATH 26 INFLO BOX,"275,000.00",RESEP DOKTER,"Jarum yang digunakan untuk pemasangan infuse, untuk mengambil cairan udema ukuran 26 (per pcs)"
ARKAVIT-C DEZ,"35,000.00",BEBAS,"Suplemen yang mengandung kombinasi vitamin B kompleks dan vitamin C. Suplemen ini digunakan untuk proses pemulihan, membantu memelihara kesehatan dan mengatasi defisiensi vitamin B."
ACARBOSE 100MG DEXA,"17,500.00",RESEP DOKTER,Obat yang digunakan sebagai terapi kombinasi dengan diet untuk penderita diabetes melitus (100 MG)
ACARBOSE 100MG DEXA BOX,"150,000.00",RESEP DOKTER,Obat yang digunakan sebagai terapi kombinasi dengan diet untuk penderita diabetes melitus (100 MG BOX)
ACARBOSE 50MG DEXA,"12,500.00",RESEP DOKTER,Obat yang digunakan sebagai terapi kombinasi dengan diet untuk penderita diabetes melitus (50 MG BOX)
ACARBOSE 50MG DEXA BOX,"95,000.00",RESEP DOKTER,Obat yang digunakan sebagai terapi kombinasi dengan diet untuk penderita diabetes melitus (50 MG BOX)
AMOSTERA,"6,000.00",RESEP DOKTER,Obat yang digunakan untuk mengatasi berbagai jenis infeksi bakteri
AMOSTERA BOX,"50,000.00",RESEP DOKTER,Obat yang digunakan untuk mengatasi berbagai jenis infeksi bakteri (per BOX)
ACYCLOVIR 400 HJ,"10,000.00",RESEP DOKTER,"Obat antivirus generik dengan kenadungan Acyclovir yang digunakan untuk mengobati infeksi akibat virus seperti pengobatan infeksi Herpes Simpleks pada kulit & membran mukosa, termasuk Herpes Genital awal & rekuren"
ACYCLOVIR 400 HJ BOX,"75,000.00",RESEP DOKTER,"Obat antivirus generik dengan kenadungan Acyclovir yang digunakan untuk mengobati infeksi akibat virus seperti pengobatan infeksi Herpes Simpleks pada kulit & membran mukosa, termasuk Herpes Genital awal & rekuren (per BOX)"
ACNE PATCH ISI 12,"25,000.00",BEBAS,Plester jerawat
ALKOHOL 70% 100ML IFI,"6,000.00",BEBAS,Sebagai antiseptik maupun disinfektan untuk membunuh jamur dan bakteri pada kulit
ACNE FELDIN LOT 110ML,"40,000.00",BEBAS,Digunakan untuk membantu merawat kulit yang berjerawat
ACYCLOVIR CR 5gr BERNO,"6,000.00",RESEP DOKTER,"Obat antivirus digunakan untuk mengatasi infeksi virus, seperti penyakit infeksi kulit seperti Herpes (simpleks dan genitalis)"
ALKOHOL 100ml SEINO,"5,000.00",BEBAS,Antiseptik yang berfungsi untuk membunuh serta menghambat pertumbuhan bakteri maupun mikroorganisme
AMH JAHE MERAH,"2,000.00",BEBAS,"Minuman herbal yang terbuat dari jahe merah, habbatussauda, ginseng, madu, secang, dan tumbuhan lainnya"
ALLORIS SYR,"75,000.00",RESEP DOKTER,"Antihistamin atau anti alergi yang dikemas dalam sediaan sirup, dapat diberikan untuk anak-anak maupun orang dewasa"
AUTOCLICK LANCING DEVICE OM,"30,000.00",BEBAS,Alat untuk mengambil sampel darah pada ujung jari
AZITHROMYCIN 500MG NOVELL,"4,000.00",RESEP DOKTER,"Mengobati infeksi bakteri di berbagai bagian tubuh, seperti saluran pernapasan, mata, kulit, dan alat kelamin"
ACYCLOVIR CR 5gr FM,"5,000.00",RESEP DOKTER,"Mengatasi infeksi virus, seperti penyakit infeksi kulit seperti Herpes (simpleks dan genitalis)"
"ALTAMED SURGICAL TAPE 1,5X1,25CM","8,500.00",RESEP DOKTER,"Berfungsi sebagai penutup luka untuk mencegah infeksi (1,5x1,25 CM)"
"ALTAMED SURGICAL TAPE 1X2,5CM","15,000.00",RESEP DOKTER,"Berfungsi sebagai penutup luka untuk mencegah infeksi (1x2,5 CM)"
ALTAMED SURGICAL TAPE 2X5CM,"28,000.00",RESEP DOKTER,Berfungsi sebagai penutup luka untuk mencegah infeksi (2x5 CM)
AMBROXOL RAMA,"3,000.00",RESEP DOKTER,"Obat yang berfungsi sebagai agen mukolitik atau pengecer dahak. Obat yang digunakan sebagai tata laksana gangguan saluran nafas atas yang produktif, seperti pada bronkitis dan penyakit paru obstruktif"
AMBROXOL RAMA BOX,"18,500.00",RESEP DOKTER,"Obat yang berfungsi sebagai agen mukolitik atau pengecer dahak. Obat yang digunakan sebagai tata laksana gangguan saluran nafas atas yang produktif, seperti pada bronkitis dan penyakit paru obstruktif (per BOX)"
ANADEX SYR,"40,000.00",BEBAS,"Obat yang digunakan untuk mengatasi gejala flu seperti demam, sakit kepala, hidung tersumbat, bersin-bersin yang disertai batuk"
ALBOTHYL OVULA,"25,000.00",RESEP DOKTER,"Sebagai antiseptik atau desinfektan pada organ kewanitaan, seperti : radang vagina (vaginitis), radang mulut rahim (servisitis), keputihan, gatal, bau tak sedap, ektopia, atau erosi bagian servikal"
ALBOTHYL OVULA BOX,"135,000.00",RESEP DOKTER,"Sebagai antiseptik atau desinfektan pada organ kewanitaan, seperti : radang vagina (vaginitis), radang mulut rahim (servisitis), keputihan, gatal, bau tak sedap, ektopia, atau erosi bagian servikal (per BOX)"
ANLENE ACTIFIT COKLAT 250GR,"37,500.00",BEBAS,"Susu dengan rangkaian nutrisi lengkap untuk mendukung kebebasan bergerak dan senantiasa menjaga kesehatan tulang, sendi dan otot supaya tetap sehat dan kuat (Coklat 250GR)"
ANLENE ACTIFIT VANILA 250GR,"37,500.00",BEBAS,"Susu dengan rangkaian nutrisi lengkap untuk mendukung kebebasan bergerak dan senantiasa menjaga kesehatan tulang, sendi dan otot supaya tetap sehat dan kuat (Vanila 250GR)"
ANLENE GOLD COKLAT 240GR,"48,000.00",BEBAS,Minuman penambah nutrisi terutama untuk tulang dan mencegah kekurangan kalsium (Coklat 240GR)
ANLENE GOLD VANILA 240GR,"48,000.00",BEBAS,Minuman penambah nutrisi terutama untuk tulang dan mencegah kekurangan kalsium (Vanila 240GR)
ANAKONIDIN OBH 30ML,"11,000.00",BEBAS,"ANAKONIDIN OBH SIRUP 30 ML adalah obat yang digunakan untuk mengobati batuk yang disertai gejala flu seperti demam, sakit kepala, hidung tersumbat, dan bersin-bersin. Anakonidin mengandung paracetamol, succus liquiritiae extract, pseudoefedrin dan chlorpheniaramine maleat."
ANAKONIDIN OBH 60ML,"15,000.00",BEBAS,"ANAKONIDIN SIRUP mengandung zat aktif Dextromethorphan HBr, Guaifenesin, Pseudoephedrine HCl, dan Chlorpheniramine Maleat. Obat ini digunakan untuk mengatasi gejala pilek seperti bersin-bersin dan hidung tersumbat yang disertai batuk pada anak. Obat ini menyebabkan kantuk."
ANAKONIDIN SYR 30ML ,"10,000.00",BEBAS,"ANAKONIDIN SIRUP mengandung zat aktif Dextromethorphan HBr, Guaifenesn, Pseudoephedrine dan Chlorpheniramine maleat. Obat ini digunakan untuk mengatasi gejala pilek seperti hidung tersumbat, dan bersin-bersin disertai batuk. Obat ini dapat menyebabkan kantuk. Jangan mengendarai kendaraan bermotor atau menjalankan mesin."
ANAKONIDIN SYR 60ML,"13,500.00",BEBAS,"ANAKONIDIN SIRUP mengandung zat aktif Dextromethorphan HBr, Guaifenesin, Pseudoephedrine HCl, dan Chlorpheniramine Maleat. Obat ini digunakan untuk mengatasi gejala pilek seperti bersin-bersin dan hidung tersumbat yang disertai batuk pada anak. Obat ini menyebabkan kantuk."
ANASTAN,"5,000.00",RESEP DOKTER,"Obat dengan kandungan Asam Mefenamat yang berfungsi sebagai anti nyeri pada tingkat ringan hingga sedang. Obat ini digunakan untuk meredakan sakit kepala, sakit gigi, nyeri haid, nyeri pada otot dan sendi, serta nyeri paska operasi"
ANASTAN BOX,"37,500.00",RESEP DOKTER,"Obat dengan kandungan Asam Mefenamat yang berfungsi sebagai anti nyeri pada tingkat ringan hingga sedang. Obat ini digunakan untuk meredakan sakit kepala, sakit gigi, nyeri haid, nyeri pada otot dan sendi, serta nyeri paska operasi (per BOX)"
ANATON,400.00,BEBAS,"Obat yang digunakan untuk meringankan gejala flu seperti demam, sakit kepala, hidung tersumbat dan bersin-bersin yang disertai batuk"
ANATON BOX,"35,000.00",BEBAS,"Obat yang digunakan untuk meringankan gejala flu seperti demam, sakit kepala, hidung tersumbat dan bersin-bersin yang disertai batuk (per BOX)"
ANATON SYRUP,"8,000.00",BEBAS,"Obat yang digunakan untuk meringankan gejala flu seperti demam, sakit kepala, hidung tersumbat dan bersin-bersin yang disertai batuk"
ANATON SYRUP Q,"395,000.00",BEBAS,"Obat yang digunakan untuk meringankan gejala flu seperti demam, sakit kepala, hidung tersumbat dan bersin-bersin yang disertai batuk"
ANDALAN LAKTASI PIL 30,"12,500.00",RESEP DOKTER,"Sediaan koontrasepsi oral yang mengandung linestrenol, derivat progestin yang merupakan progesteron sintetis (buatan) untuk membantu siklus ovulasi"
ANDALAN LAKTASI PIL 30 BOX,"330,000.00",RESEP DOKTER,"Sediaan koontrasepsi oral yang mengandung linestrenol, derivat progestin yang merupakan progesteron sintetis (buatan) untuk membantu siklus ovulasi (per BOX)"
ANTANGIN JRG TAB ISI 4,"2,250.00",BEBAS,"Obat herbal yang bermanfaat untuk mengatasi masuk angin, meriang, mual, perut kembung, pusing, sakit kepala, dan kelelahan (isi 4)"
ANTANGIN JRG PAK ISI 20,"40,000.00",BEBAS,"Obat herbal yang bermanfaat untuk mengatasi masuk angin, meriang, mual, perut kembung, pusing, sakit kepala, dan kelelahan (1 box isi 20)"
ANTANGIN JRG SCHT,"3,500.00",BEBAS,"Obat herbal yang bermanfaat untuk mengatasi masuk angin, meriang, mual, perut kembung, pusing, sakit kepala, dan kelelahan (per pcs)"
ANTANGIN JRG PAK ISI 12,"37,500.00",BEBAS,"Obat herbal yang bermanfaat untuk mengatasi masuk angin, meriang, mual, perut kembung, pusing, sakit kepala, dan kelelahan (1 box isi 12)"
ANTASIDA SAMPH SYR 60ML  ,"6,000.00",BEBAS,"Untuk meringankan gejala mual, nyeri lambung, dan nyeri ulu hati"
ANTASIDA SAMPH SYR 60ML Q,"225,000.00",BEBAS,"Untuk meringankan gejala mual, nyeri lambung, dan nyeri ulu hati"
ANTASIDA POT TRIMAN,"10,000.00",BEBAS,"Tablet kunyah dengan kandungan antasida yang digunakan untuk mengatasi gejala yang terkait dengan asam lambung berlebih seperti mual, nyeri lambung dan nyeri ulu hati"
ANTIMO,"6,000.00",BEBAS,"Obat dengan kandungan Dimenhydrinate yang digunakan untuk mengatasi mual, muntah, dan pusing akibat mabuk perjalanan"
ANTIMO BOX ISI72,"365,000.00",BEBAS,"Obat dengan kandungan Dimenhydrinate yang digunakan untuk mengatasi mual, muntah, dan pusing akibat mabuk perjalanan (per BOX isi 72)"
ANTIS ANTISEPTIK 55ML,"13,500.00",BEBAS,Hand Sanitizer (pembersih tangan anti kuman tanpa air)
ALLOPURINOL 100 ETA,"3,500.00",RESEP DOKTER,Obat generik yang digunakan untuk menurunkan kadar asam urat dalam darah
ALLOPURINOL 100 ETA BOX,"27,500.00",RESEP DOKTER,Obat generik yang digunakan untuk menurunkan kadar asam urat dalam darah (per BOX)
APOLAR 10GR CREAM,"45,000.00",RESEP DOKTER,Mengatasi kondisi kulit yang mengalamin inflansi akibat penyakit dermatitis kontak maupun atopik
APOLAR-N 10gr,"50,000.00",RESEP DOKTER,Mengatasi kondisi kulit yang mengalamin inflansi akibat penyakit dermatitis kontak maupun atopik
AQUA 600ML,"4,000.00",BEBAS,Air mineral
AQUABIDEST 500 IKA,"35,000.00",BEBAS,Purified Water yang dihasilkan dari proses destilasi/penyulingan bertingkat digunakan untuk melarutkan/mencairkan bahan kimia
ASAM MEFENAMAT 500MG ETA,"3,000.00",RESEP DOKTER,"Untuk menangani nyeri ringan sama sedang, seperti sakit kepala, sakit gigi, nyeri otot tulang, nyeri karena luka, nyeri setelah operasi, nyeri setelah melahirkan, dismenore, nyeri reumatik dan demam (ETA)"
ASAM MEFENAMAT 500MG ETA BOX,"25,000.00",RESEP DOKTER,"Untuk menangani nyeri ringan sama sedang, seperti sakit kepala, sakit gigi, nyeri otot tulang, nyeri karena luka, nyeri setelah operasi, nyeri setelah melahirkan, dismenore, nyeri reumatik dan demam (ETA per BOX)"
ASAM MEFENAMAT 500MG HEXA,"3,500.00",RESEP DOKTER,"Untuk menangani nyeri ringan sama sedang, seperti sakit kepala, sakit gigi, nyeri otot tulang, nyeri karena luka, nyeri setelah operasi, nyeri setelah melahirkan, dismenore, nyeri reumatik dan demam (HEXA)"
ASAM MEFENAMAT 500MG HJ BOX,"25,000.00",RESEP DOKTER,"Untuk menangani nyeri ringan sama sedang, seperti sakit kepala, sakit gigi, nyeri otot tulang, nyeri karena luka, nyeri setelah operasi, nyeri setelah melahirkan, dismenore, nyeri reumatik dan demam (HJ per BOX)"
ARM SLING OM UK S,"25,000.00",BEBAS,"Alat bantu orthopedi yang berfungsi untuk menyangga dan menjaga bagian tubuh yang cedera, seperti lengan, siku, tulang selangka, atau bahu. (Ukuran S)"
ARM SLING OM UK M,"25,000.00",BEBAS,"Alat bantu orthopedi yang berfungsi untuk menyangga dan menjaga bagian tubuh yang cedera, seperti lengan, siku, tulang selangka, atau bahu. (Ukuran M)"
ARM SLING OM UK L,"25,000.00",BEBAS,"Alat bantu orthopedi yang berfungsi untuk menyangga dan menjaga bagian tubuh yang cedera, seperti lengan, siku, tulang selangka, atau bahu. (Ukuran L)"
ARFEN 400MG,"4,000.00",RESEP DOKTER,"Obat yang digunakan untuk meredakan nyeri ringan dan sedang, seperti sakit gigi, nyeri haid, nyeri otot, sakit kepala, nyeri pascaoperasi (400MG)"
ARFEN 400MG BOX,"32,500.00",RESEP DOKTER,"Obat yang digunakan untuk meredakan nyeri ringan dan sedang, seperti sakit gigi, nyeri haid, nyeri otot, sakit kepala, nyeri pascaoperasi (400MG BOX)"
ASPAR K,"4,000.00",RESEP DOKTER,Suplementasi kalium pada kondisi kekurangan ataupun penyakit-penyakit yang menyebabkan kalium rendah
ASPAR K BOX,"360,000.00",RESEP DOKTER,Suplementasi kalium pada kondisi kekurangan ataupun penyakit-penyakit yang menyebabkan kalium rendah (per BOX)
AUTOCHECK  STRIP GLUCOSE,"90,000.00",BEBAS,"Alat kesehatan dengan fungsi mengukur kadar gula, sangat mudah dan praktis digunakan"
AZITHROMYCIN 500 MG (PYRIDAM),"4,000.00",RESEP DOKTER,"Antibiotik golongan makrolida yang mempunyai spektrum luas, aktif terhadap bakteri gram negatif maupun gram positif (PYRIDAM)"
AZITHROMYCIN 500 MG (PYRIDAM) BOX,"120,000.00",RESEP DOKTER,"Antibiotik golongan makrolida yang mempunyai spektrum luas, aktif terhadap bakteri gram negatif maupun gram positif (PYRIDAM BOX)"
AZITHROMYCIN 500MG HEXA,"2,500.00",RESEP DOKTER,"Antibiotik golongan makrolida yang mempunyai spektrum luas, aktif terhadap bakteri gram negatif maupun gram positif (HEXA)"
AZITHROMYCIN 500MG HEXA BOX,"35,000.00",RESEP DOKTER,"Antibiotik golongan makrolida yang mempunyai spektrum luas, aktif terhadap bakteri gram negatif maupun gram positif (HEXA BOX)"
AM PRIMA 600ML,"2,500.00",BEBAS,Air mineral
AMLODIPINE 10MG SCAN,"5,000.00",RESEP DOKTER,"Mengatasi hipertensi atau tekanan darah tinggi, terapi lini pertama untuk infark miokard serta terapi kombinasi atau monoterapi untuk angina"
AMLODIPINE 10MG SCAN BOX,"45,000.00",RESEP DOKTER,"Mengatasi hipertensi atau tekanan darah tinggi, terapi lini pertama untuk infark miokard serta terapi kombinasi atau monoterapi untuk angina (per BOX)"
ALERFED,"3,500.00",RESEP DOKTER,Membantu meringankan gejala gangguan saluran nafas atas seperti rhinitis alergi yang ditandai dengan timbulnya gejala hidung berair atau tersumbat
ALERFED BOX,"135,000.00",RESEP DOKTER,Membantu meringankan gejala gangguan saluran nafas atas seperti rhinitis alergi yang ditandai dengan timbulnya gejala hidung berair atau tersumbat (per BOX)
ANTASIDA TAB TRIMAN,150.00,RESEP DOKTER,"Antasida Doen produksi Triman merupakan tablet kunyah dengan kandungan antasida yang digunakan untuk mengatasi gejala yang terkait dengan asam lambung berlebih seperti mual, nyeri lambung dan nyeri ulu hati."
ALGANAX 025,"5,000.00",RESEP DOKTER,Obat dengan kandungan alprazolam yang digunakan untuk mengatasi gangguan cemas (025)
ALGANAX 025 BOX,"110,000.00",RESEP DOKTER,Obat dengan kandungan alprazolam yang digunakan untuk mengatasi gangguan cemas (025 per BOX)
ALGANAX 05,"6,500.00",RESEP DOKTER,Obat dengan kandungan alprazolam yang digunakan untuk mengatasi gangguan cemas (05)
ALGANAX 05 BOX,"185,000.00",RESEP DOKTER,Obat dengan kandungan alprazolam yang digunakan untuk mengatasi gangguan cemas (05 per BOX)
ANTIS,"10,000.00",BEBAS,"Antiseptik berbentuk spray yang digunakan untuk membunuh kuman, bakteri maupun virus."
ALAT BEKAM ISI 6 KANGZHU,"120,000.00",BEBAS,"Digunakan untuk terapi bekam dan mengobati berbagai penyakit seperti Hemmofilia, Hipertensi, Gout, Reumatik Arthritis, Sciatica, Sakit punggung, Migrain, Vertigo, kecemasan (isi 6)"
ALAT BEKAM ISI 12 KANGZHU,"200,000.00",BEBAS,"Digunakan untuk terapi bekam dan mengobati berbagai penyakit seperti Hemmofilia, Hipertensi, Gout, Reumatik Arthritis, Sciatica, Sakit punggung, Migrain, Vertigo, kecemasan (isi 12)"
ALAT BEKAM ISI 24 KANGZHU,"350,000.00",BEBAS,"Digunakan untuk terapi bekam dan mengobati berbagai penyakit seperti Hemmofilia, Hipertensi, Gout, Reumatik Arthritis, Sciatica, Sakit punggung, Migrain, Vertigo, kecemasan (isi 24)"
AMBROXOL TRIMAN,"2,500.00",RESEP DOKTER,"Ambroxol adalah obat untuk mengencerkan dahak. Obat ini dapat digunakan pada berbagai kondisi dengan batuk berdahak, termasuk batuk pilek (common cold), bronkitis, emfisema, atau bronkiektasis."
AMBROXOL TRIMAN BOX,"15,000.00",RESEP DOKTER,"Ambroxol adalah obat untuk mengencerkan dahak. Obat ini dapat digunakan pada berbagai kondisi dengan batuk berdahak, termasuk batuk pilek (common cold), bronkitis, emfisema, atau bronkiektasis."
AMBROXOL 30MG ETA,"2,500.00",RESEP DOKTER,"Obat ini digunakan sebagai sekretolitik pada gangguan saluran nafas akut dan kronis khususnya pada eksaserbasi bronkitis kronis, bronkitis asmatik, asma bronkial, batuk berdahak, batuk pilek (common cold), dan emfisema."
AMBROXOL 30MG ETA BOX,"15,000.00",RESEP DOKTER,"Obat ini digunakan sebagai sekretolitik pada gangguan saluran nafas akut dan kronis khususnya pada eksaserbasi bronkitis kronis, bronkitis asmatik, asma bronkial, batuk berdahak, batuk pilek (common cold), dan emfisema."
ASMA CAMPUR,"5,000.00",RESEP DOKTER,"Obat asma yang merupakan kombinasi dari beberapa bahan dapat membantu meredakan dan mencegah gejala asma, seperti sesak napas, mengi, dan batuk"
AMLODIPINE 5MG KF,"2,500.00",RESEP DOKTER,Amlodipine Tablet bermanfaat untuk menurunkan tekanan darah pada penderita hipertensi.
AMLODIPINE 5MG KF BOX,"8,000.00",RESEP DOKTER,Amlodipine Tablet bermanfaat untuk menurunkan tekanan darah pada penderita hipertensi.
ANPIRIDE 4MG,"9,000.00",RESEP DOKTER,Obat anti diabetes mengandung Glimepiride yang termasuk ke dalam golongan sulfonilurea (4MG)
ANPIRIDE 2MG BOX,"260,000.00",RESEP DOKTER,Obat anti diabetes mengandung Glimepiride yang termasuk ke dalam golongan sulfonilurea (2MG per BOX)
ATMACID SYR 60ML,"9,000.00",BEBAS,Obat sakit maag yang mengandung kombinasi antasida dan antikembung
ATMACID SYR 60ML Q,"470,000.00",BEBAS,Obat sakit maag yang mengandung kombinasi antasida dan antikembung
ANFLAT SYR 100ML,"17,500.00",BEBAS,"Obat yang digunakan untuk mengatasi gangguan pada saluran pencernaan seperti gastritis, perut kembung, maag, dispepsia, hiatus hernia, tukak lambung dan usus duabelas jari"
ANVIFUS 60ML STRW,"27,500.00",BEBAS,"Obat herbal yang mengandung Lumbriscus Rubellus (cacing tanah), Centella asiatica (Pegagan), Mimoso Pudica (Daun putri malu), Curcuma Xanthorrizha Roxb (temulawak) rasa strawberry"
ANVIFUS 60ML MELON,"27,500.00",BEBAS,"Obat herbal yang mengandung Lumbriscus Rubellus (cacing tanah), Centella asiatica (Pegagan), Mimoso Pudica (Daun putri malu), Curcuma Xanthorrizha Roxb (temulawak) rasa melon"
ANVIFUS 60ML JERUK,"27,500.00",BEBAS,"Obat herbal yang mengandung Lumbriscus Rubellus (cacing tanah), Centella asiatica (Pegagan), Mimoso Pudica (Daun putri malu), Curcuma Xanthorrizha Roxb (temulawak) rasa jeruk"
ANTRAIN AMP,"16,000.00",RESEP DOKTER,"Meringankan rasa sakit, terutama nyeri kolik dan sakit setelah operasi"
ANTRAIN BOX,"70,000.00",RESEP DOKTER,"Meringankan rasa sakit, terutama nyeri kolik dan sakit setelah operasi (per BOX)"
AUTOCHECK GCU FREE STRIP,"275,000.00",BEBAS,"Strip tes yang digunakan untuk memeriksa kadar gula darah, kolestrol, dan asam urat secara bersamaan"
AUTOCHECK TANPA STRIP,"275,000.00",BEBAS,"Alat yang digunakan untuk memeriksa kadar gula darah, kolestrol, dan asam urat dalam satu alat"
ALPHAMOL SYR 60ML,"7,000.00",BEBAS,Obat antipiretik dan analgesik yang digunakan untuk menurunkan demam dan meredakan nyeri
ALPHAMOL SYR 60ML Q,"300,000.00",BEBAS,Obat antipiretik dan analgesik yang digunakan untuk menurunkan demam dan meredakan nyeri
ALBOTHYL 5ML,"27,500.00",BEBAS,Albothyl Solution 5 Ml bermanfaat untuk membersihkan dan membantu regenerasi jaringan pada luka atau peradangan.
ARAK SHAOLLIN,"22,500.00",BEBAS,"Obat gosok herbal untuk mengobati berbagai macam penyakit seperti,  encok (rematik), sakit otot, sakit tulang, sakit pinggang, ngilu, keram, pegal linu, bengkak, kesemutan, terpukul, terkilir"
ANDALAN 1CC BOX,"140,000.00",RESEP DOKTER,Peralatan medis suntik yang digunakan untuk menyuntikkan cairan obat 1CC (per BOX)
ANDALAN 1CC VIAL,"7,500.00",RESEP DOKTER,Peralatan medis suntik yang digunakan untuk menyuntikkan cairan obat 1CC (per BOX)
ALLOPURINOL 100 INF,"4,000.00",RESEP DOKTER,Obat generik yang digunakan untuk menurunkan kadar asam urat dalam darah.
ALLOPURINOL 100 INF BOX,"35,000.00",RESEP DOKTER,Obat generik yang digunakan untuk menurunkan kadar asam urat dalam darah.
ATORVASTATIN 20 KF,"3,500.00",RESEP DOKTER,"Obat golongan penghambat HMG-CoA reduktase atau disebut statin. Obat ini digunakan untuk mengobati kolestrol total, kolestrol LDL, apo-B & trigliserida pada pasien dengan hiperkolesterolemia familial heterozigot & homozigot bila respons terhadap diet & tindakan nonfarmakologis. Obat ini mengurangi risiko terjadinya penyakit jantung atau stroke."
ATORVASTATIN 20 KF BOX,"75,000.00",RESEP DOKTER,"Obat golongan penghambat HMG-CoA reduktase atau disebut statin. Obat ini digunakan untuk mengobati kolestrol total, kolestrol LDL, apo-B & trigliserida pada pasien dengan hiperkolesterolemia familial heterozigot & homozigot bila respons terhadap diet & tindakan nonfarmakologis. Obat ini mengurangi risiko terjadinya penyakit jantung atau stroke."
ANALTRAM,"14,000.00",RESEP DOKTER,"Obat berbentuk kaplet yang mengandung zat aktif berupa tramadol dan paracetamol. Obat tersebut digunakan untuk meredakan nyeri ringan, sedang, hingga berat, misalnya nyeri pascaoperasi."
ANALTRAM BOX,"375,000.00",RESEP DOKTER,"Obat berbentuk kaplet yang mengandung zat aktif berupa tramadol dan paracetamol. Obat tersebut digunakan untuk meredakan nyeri ringan, sedang, hingga berat, misalnya nyeri pascaoperasi."
AMADIAB 4MG,"9,750.00",RESEP DOKTER,Obat anti diabetes mellitus tipe 2 atau Non-Insulin-Dependent (type II) Diabetes Melitus (NIDDM) dimana kadar glukosa darah tidak dapat hanya dikontrol dengan diet dan olahraga saja.
AMADIAB 4MG BOX,"430,000.00",RESEP DOKTER,Obat anti diabetes mellitus tipe 2 atau Non-Insulin-Dependent (type II) Diabetes Melitus (NIDDM) dimana kadar glukosa darah tidak dapat hanya dikontrol dengan diet dan olahraga saja.
AMADIAB 3MG,"9,000.00",RESEP DOKTER,Obat anti diabetes mellitus tipe 2 atau Non-Insulin-Dependent (type II) Diabetes Melitus (NIDDM) dimana kadar glukosa darah tidak dapat hanya dikontrol dengan diet dan olahraga saja.
AMADIAB 3MG BOX,"370,000.00",RESEP DOKTER,Obat anti diabetes mellitus tipe 2 atau Non-Insulin-Dependent (type II) Diabetes Melitus (NIDDM) dimana kadar glukosa darah tidak dapat hanya dikontrol dengan diet dan olahraga saja.
AMADIAB 2MG,"6,500.00",RESEP DOKTER,Obat anti diabetes mellitus tipe 2 atau Non-Insulin-Dependent (type II) Diabetes Melitus (NIDDM) dimana kadar glukosa darah tidak dapat hanya dikontrol dengan diet dan olahraga saja.
AMADIAB 2MG BOX,"300,000.00",RESEP DOKTER,Obat anti diabetes mellitus tipe 2 atau Non-Insulin-Dependent (type II) Diabetes Melitus (NIDDM) dimana kadar glukosa darah tidak dapat hanya dikontrol dengan diet dan olahraga saja.
AMADIAB 1MG,"4,000.00",RESEP DOKTER,Obat anti diabetes mellitus tipe 2 atau Non-Insulin-Dependent (type II) Diabetes Melitus (NIDDM) dimana kadar glukosa darah tidak dapat hanya dikontrol dengan diet dan olahraga saja.
AMADIAB 1MG BOX,"180,000.00",RESEP DOKTER,Obat anti diabetes mellitus tipe 2 atau Non-Insulin-Dependent (type II) Diabetes Melitus (NIDDM) dimana kadar glukosa darah tidak dapat hanya dikontrol dengan diet dan olahraga saja.
APIALYS DROPS 10ML,"55,000.00",BEBAS,"Suplemen yang mengandung multivitamin dan mineral. Suplemen ini digunakan sebagai tambahan nutrisi untuk bayi dan anak-anak, membantu mengoptimalkan tumbuh kembang, meningkatkan nafsu makan dan mempercepat proses penyembuhan saat sakit"
APIALYS SIRUP 100ML,"47,500.00",BEBAS,"Membantu meningkatkan nafsu makan, namun juga membantu meningkatkan daya tahan tubuh dan membantu pertumbuhan tulang dan gigi."
AKITA,"3,500.00",BEBAS,Obat dengan kandungan attapulgite dan pectin yang dapat membantu mengatasi diare. Obat ini bekerja dengan cara memperlambat gerakan usus besar. Usus pun pada akhirnya bisa menyerap lebih banyak air sehingga feses bisa jadi lebih padat.
AKITA BOX,"30,000.00",BEBAS,Obat dengan kandungan attapulgite dan pectin yang dapat membantu mengatasi diare. Obat ini bekerja dengan cara memperlambat gerakan usus besar. Usus pun pada akhirnya bisa menyerap lebih banyak air sehingga feses bisa jadi lebih padat.
ADEM SARI PAK-5,"15,000.00",BEBAS,"Minuman penyejuk yang mengandung ekstrak Citrus Aurantifolia dan ekstrak Alyxia stellata. Dilengkapi juga dengan kandungan vitamin C. Digunakan untuk meredakan gejala panas dalam, sakit tenggorokan, sariawan, bibir pecah-pecah dan susah buang air besar."
